ADM0_ES,ADM0_PCODE,ADM1ALT1ES,ADM1ALT2ES,ADM1_ES,ADM1_PCODE,ADM1_REF,CIR_Index,CWC,FAPAR,FID,IRECI_Index,LAI,PVI_Index,SAVI_Index,Shape_Area,Shape_Leng,TSAVI_Index,administra,app_id,categoria,centroid_x,centroid_y,date,escala,fecha_act,fecha_regi,hectareas0,hectareas_,id_pnn,nombre,organizaci,perimetro_,record_id,resolucion,territoria,type,url,validOn,validTo,validado,wkid,longitude,latitude
Colombia,CO,,,Casanare,CO85,,0.28823089599609375,-0.015546631999313831,0.19740629196166992,0,0.002759611466899514,0.8646926283836365,0.1102592721581459,0.22468528151512146,3.61506314804,12.1327535552,0.18624047935009003,PNNC,1.0,Reserva Natural de la Sociedad Civil,-70.8290688,5.31690962,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1589241600000}","{'type': 'Date', 'value': 1589241600000}",399.86215769,399.8622,1605.0,San Andrés,Parques Nacionales Naturales de Colombia,,2047.0,014,,,https://runap.parquesnacionales.gov.co/area-protegida/1605,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-70.82572481527656,5.314349736944188
Colombia,CO,,,Casanare,CO85,,0.4365159869194031,0.26038607954978943,0.3812797963619232,1,-0.0037701448891311884,1.3095479011535645,0.17401039600372314,0.34700843691825867,3.61506314804,12.1327535552,0.28926411271095276,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.76691139,5.13423822,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1509408000000}","{'type': 'Date', 'value': 1509408000000}",4095.08236191,4088.36,715.0,La Travesada,Parques Nacionales Naturales de Colombia,,1468.0,0073,,,https://runap.parquesnacionales.gov.co/area-protegida/715,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.73700090524206,5.145731535221287
Colombia,CO,,,Casanare,CO85,,0.3625405728816986,0.15791097283363342,0.2895503044128418,2,-0.010843065567314625,1.0876216888427734,0.14783452451229095,0.29127004742622375,3.61506314804,12.1327535552,0.24358563125133514,PNNC,1.0,Reserva Natural de la Sociedad Civil,-70.76180935,5.28005268,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1559692800000}","{'type': 'Date', 'value': 1559692800000}",6405.3887807,6405.388,1441.0,Miravalles,Parques Nacionales Naturales de Colombia,,1816.0,191,,,https://runap.parquesnacionales.gov.co/area-protegida/1441,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-70.74462425048463,5.289583718515739
Colombia,CO,,,Casanare,CO85,,0.25007590651512146,0.014672764576971531,0.15009412169456482,3,-0.00017969431064557284,0.750227689743042,0.0769660472869873,0.17457258701324463,3.61506314804,12.1327535552,0.14107926189899445,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.01851749,5.34381857,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1515110400000}","{'type': 'Date', 'value': 1515110400000}",4968.3326316,4968.3293,1281.0,Medano Los Morrucos,Parques Nacionales Naturales de Colombia,,1546.0,143,,,https://runap.parquesnacionales.gov.co/area-protegida/1281,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-70.99240312996292,5.318452189559173
Colombia,CO,,,Casanare,CO85,,0.4642798602581024,0.22611486911773682,0.4157070219516754,4,-0.014455818571150303,1.3928395509719849,0.18889650702476501,0.37261977791786194,3.61506314804,12.1327535552,0.3115167021751404,PNNC,1.0,Reserva Natural de la Sociedad Civil,-72.32612175,5.29468584,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1536019200000}","{'type': 'Date', 'value': 1536019200000}",447.13827787,447.35,1329.0,Fundo Palmarito,Parques Nacionales Naturales de Colombia,,1696.0,205,,,https://runap.parquesnacionales.gov.co/area-protegida/1329,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-72.30891137207092,5.296270440170505
Colombia,CO,,,Casanare,CO85,,0.336128294467926,0.10068746656179428,0.2567991018295288,5,0.005540180020034313,1.0083849430084229,0.13339722156524658,0.26664605736732483,3.61506314804,12.1327535552,0.22213588654994965,PNNC,1.0,Reserva Natural de la Sociedad Civil,-70.74861786,5.34481157,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1439424000000}","{'type': 'Date', 'value': 1439424000000}",842.65772301,842.6948,720.0,Quinto Patio del Lagunazo,Parques Nacionales Naturales de Colombia,,841.0,0083,,,https://runap.parquesnacionales.gov.co/area-protegida/720,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-70.74237122697541,5.3451384540390094
Colombia,CO,,,Casanare,CO85,,0.35620421171188354,0.14058083295822144,0.2816932201385498,6,-0.011013427749276161,1.0686125755310059,0.1356634944677353,0.2770858705043793,3.61506314804,12.1327535552,0.22954024374485016,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.59958505,5.27602093,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1565827200000}","{'type': 'Date', 'value': 1565827200000}",472.73898314,472.739,1476.0,Gaviota-Caracolí,Parques Nacionales Naturales de Colombia,,1862.0,053,,,https://runap.parquesnacionales.gov.co/area-protegida/1476,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.60027959136832,5.288005857076539
Colombia,CO,,,Casanare,CO85,,0.35044679045677185,0.12475333362817764,0.2745540142059326,7,0.005070942919701338,1.0513403415679932,0.12449966371059418,0.26346784830093384,3.61506314804,12.1327535552,0.21633096039295197,PNNC,1.0,Reserva Natural de la Sociedad Civil,-70.83154251,5.19816011,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1559692800000}","{'type': 'Date', 'value': 1559692800000}",146.40761574,146.4076,1422.0,Padrote 1,Parques Nacionales Naturales de Colombia,,1808.0,193,,,https://runap.parquesnacionales.gov.co/area-protegida/1422,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-70.82700997112434,5.199812192190777
Colombia,CO,,,Casanare,CO85,,0.3610645830631256,0.11826470494270325,0.28772008419036865,8,0.003373560728505254,1.0831937789916992,0.13534630835056305,0.27871713042259216,3.61506314804,12.1327535552,0.23040835559368134,PNNC,1.0,Reserva Natural de la Sociedad Civil,-71.35766948,6.03924821,"{'type': 'Date', 'value': 1514764800000}",,"{'type': 'Date', 'value': 1332288000000}","{'type': 'Date', 'value': 1332288000000}",9881.50006573,9887.628,259.0,La Aurora,Parques Nacionales Naturales de Colombia,,536.0,0195,,,https://runap.parquesnacionales.gov.co/area-protegida/259,"{'type': 'Date', 'value': 1586995200000}",,Si,3117,-71.32393405410204,6.055284843423349
Colombia,CO,,,Casanare,CO85,,0.29637375473976135,0.007445702329277992,0.20750343799591064,9,-0.005471952725201845,0.8891212344169617,0.12742266058921814,0.24395127594470978,3.61506314804,12.1327535552,0.20562399923801422,CORPORINOQUIA,1.0,Distritos Regionales de Manejo Integrado,-72.45972108,4.94526663,"{'type': 'Date', 'value': 1514764800000}",,,,13757.75267263,13768.0,1040.0,El Tinije,Corporación Autónoma Regional de la Orinoquía,,1144.0,08012,,,https://runap.parquesnacionales.gov.co/area-protegida/1040,"{'type': 'Date', 'value': 1586995200000}",,Si,0,-72.44646985437241,4.905650938780282
