FID,categoria,nombre,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,Reserva Natural de la Sociedad Civil,San Andrés,0.27931500000000004,0.30412173913043483,0.30083043478260874,0.29125652173913047,0.3246782608695652,0.2848434782608696,0.31724347826086957,0.28897826086956524,0.3072173913043479,0.29133478260869566,0.2995260869565218,0.31368695652173917,0.29926956521739134,0.2665608695652174,0.29205652173913044,0.3166652173913044,0.3419521739130435,0.29988260869565214,0.3030652173913044,0.2976217391304348,0.3265347826086957,0.3181260869565218,0.3106304347826087,0.3321782608695652,0.3437608695652174,0.30422857142857146
1,Reserva Natural de la Sociedad Civil,La Travesada,0.40542,0.4231869565217391,0.4498347826086957,0.40320869565217393,0.4246304347826087,0.4366869565217391,0.43265652173913044,0.4179695652173913,0.46708695652173915,0.4773869565217391,0.46499565217391303,0.4553652173913043,0.46720869565217393,0.4837,0.4870347826086957,0.4960130434782609,0.5144782608695653,0.5298217391304348,0.488704347826087,0.5027434782608696,0.5071478260869565,0.4749260869565217,0.5025391304347826,0.48870869565217395,0.483895652173913,0.4842571428571429
2,Reserva Natural de la Sociedad Civil,Miravalles,0.26679,0.30610000000000004,0.2709739130434783,0.30309565217391304,0.2644695652173913,0.3032608695652174,0.2868913043478261,0.26358260869565214,0.26902608695652175,0.3348260869565218,0.3316608695652174,0.3734608695652174,0.2700739130434783,0.31045652173913046,0.32950434782608695,0.35151304347826084,0.3513608695652174,0.38519565217391305,0.22065909090909092,0.33227826086956525,0.3592130434782609,0.3093909090909091,0.28773478260869567,0.35929130434782613,0.3344217391304348,0.37124285714285715
3,Reserva Natural de la Sociedad Civil,Medano Los Morrucos,0.29358,0.2984086956521739,0.3276521739130435,0.30693043478260873,0.2925086956521739,0.31977826086956523,0.3256391304347826,0.29510000000000003,0.32527391304347825,0.3181391304347826,0.2879086956521739,0.30635217391304354,0.30866521739130437,0.31774347826086957,0.30110434782608697,0.3302478260869565,0.3383434782608696,0.339804347826087,0.32094782608695654,0.31566086956521744,0.3224,0.3143391304347826,0.28125652173913046,0.34165652173913047,0.3483521739130435,0.3442571428571429
4,Reserva Natural de la Sociedad Civil,Fundo Palmarito,0.44977,0.4241130434782609,0.47136086956521744,0.4110652173913043,0.41067391304347833,0.43970000000000004,0.4722521739130435,0.44548695652173914,0.48250000000000004,0.4694826086956522,0.5028913043478261,0.5069739130434783,0.4825739130434783,0.48246086956521744,0.4991086956521739,0.4775521739130435,0.5054347826086957,0.5383913043478261,0.4141608695652174,0.5039869565217391,0.5114173913043478,0.5093739130434783,0.49217826086956523,0.49358260869565224,0.4947391304347826,0.49207142857142855
5,Reserva Natural de la Sociedad Civil,Quinto Patio del Lagunazo,0.216765,0.23381304347826087,0.2206608695652174,0.20675652173913045,0.17337826086956523,0.2114217391304348,0.18996521739130437,0.20777391304347825,0.22429565217391306,0.25163478260869565,0.21329130434782612,0.23821304347826086,0.1937826086956522,0.22433478260869566,0.24531739130434785,0.30615652173913044,0.2528608695652174,0.32120000000000004,0.23649130434782611,0.25050869565217393,0.30306086956521744,0.28347826086956524,0.2571869565217392,0.2919086956521739,0.3425478260869565,0.36155714285714285
6,Reserva Natural de la Sociedad Civil,Gaviota-Caracolí,0.44726000000000005,0.45713043478260873,0.470795652173913,0.4452521739130435,0.4455913043478261,0.4627217391304348,0.41580869565217393,0.41320869565217394,0.4480782608695652,0.4500782608695652,0.41252173913043483,0.4080130434782609,0.4059086956521739,0.4407913043478261,0.37889130434782614,0.40112608695652174,0.42536521739130434,0.4354826086956522,0.4155869565217391,0.4274304347826087,0.4170086956521739,0.4324695652173913,0.43019565217391303,0.45402608695652175,0.4375304347826087,0.30415714285714285
7,Reserva Natural de la Sociedad Civil,Padrote 1,0.34763000000000005,0.456904347826087,0.4034086956521739,0.4215869565217391,0.37263478260869565,0.40181739130434785,0.44014347826086964,0.39783913043478264,0.4274782608695652,0.4536347826086957,0.4332130434782609,0.43434782608695655,0.40686086956521744,0.457195652173913,0.4113739130434783,0.43470000000000003,0.4362217391304348,0.4863217391304348,0.3988304347826087,0.44601304347826093,0.47464782608695655,0.46463478260869573,0.4805695652173913,0.5236086956521739,0.4723304347826087,0.3384714285714286
8,Reserva Natural de la Sociedad Civil,La Aurora,0.441865,0.4034521739130435,0.3962521739130435,0.3612478260869565,0.35720434782608695,0.4114739130434783,0.38711739130434786,0.3769391304347826,0.3940608695652174,0.3913565217391305,0.4214521739130435,0.42524782608695655,0.3953304347826087,0.4074434782608696,0.3850608695652174,0.3991652173913044,0.4347130434782609,0.4415913043478261,0.41145652173913044,0.39148260869565216,0.42400434782608704,0.45350869565217394,0.4463130434782609,0.46088260869565223,0.5259478260869566,0.321
9,Distritos Regionales de Manejo Integrado,El Tinije,0.388695,0.33183478260869564,0.3848304347826087,0.3731826086956522,0.4013434782608696,0.37560000000000004,0.38107391304347826,0.35985652173913046,0.37834347826086956,0.3758782608695652,0.37435217391304354,0.37716086956521744,0.3597086956521739,0.37539130434782614,0.3651565217391305,0.36866086956521743,0.34627391304347827,0.39787826086956524,0.35828695652173914,0.3618,0.4073260869565218,0.400204347826087,0.4063826086956522,0.3872826086956522,0.3967913043478261,0.3536
