FID,categoria,nombre,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,Reserva Natural de la Sociedad Civil,San Andrés,0.49923500000000004,0.5204521739130435,0.5381695652173913,0.5193434782608696,0.5601173913043478,0.515404347826087,0.5524,0.5069869565217391,0.5173391304347826,0.5112478260869565,0.5055130434782609,0.5365478260869565,0.5209913043478261,0.4570826086956522,0.5068608695652175,0.5187434782608696,0.5530652173913043,0.4917826086956522,0.5200565217391304,0.5105391304347826,0.5419260869565218,0.5344521739130436,0.5422347826086957,0.5553521739130435,0.5960565217391305,0.5734142857142858
1,Reserva Natural de la Sociedad Civil,La Travesada,0.626735,0.6732913043478261,0.7039391304347826,0.6621956521739131,0.6896260869565217,0.6997304347826088,0.6764565217391304,0.6574782608695652,0.7146826086956523,0.7467565217391304,0.707708695652174,0.7185391304347827,0.7229695652173913,0.7212304347826087,0.7270913043478261,0.7410608695652174,0.7868695652173914,0.7808217391304348,0.7508260869565218,0.7518739130434783,0.7810043478260871,0.7063869565217391,0.745395652173913,0.7505173913043478,0.755513043478261,0.7897000000000001
2,Reserva Natural de la Sociedad Civil,Miravalles,0.48785500000000004,0.5255869565217391,0.5131045454545455,0.5247478260869566,0.4673869565217391,0.5496565217391304,0.4909695652173913,0.448904347826087,0.4678913043478261,0.5270304347826087,0.5552347826086957,0.5822347826086958,0.4945636363636364,0.5042347826086957,0.5391869565217391,0.5814869565217391,0.5806521739130436,0.5840000000000001,0.3989190476190476,0.5636652173913044,0.580095652173913,0.5167590909090909,0.47259565217391303,0.596195652173913,0.5665521739130436,0.5970285714285715
3,Reserva Natural de la Sociedad Civil,Medano Los Morrucos,0.60012,0.5690521739130435,0.6110869565217392,0.5522913043478261,0.5633652173913043,0.5828782608695652,0.6066956521739131,0.5615173913043479,0.5944565217391304,0.578095652173913,0.5609391304347826,0.5696652173913044,0.5916608695652175,0.6096043478260871,0.5502956521739131,0.5931391304347826,0.5912217391304349,0.6186434782608696,0.6004260869565218,0.584904347826087,0.6355608695652174,0.5856782608695652,0.5302521739130436,0.603904347826087,0.6436521739130435,0.6317428571428572
4,Reserva Natural de la Sociedad Civil,Fundo Palmarito,0.6860850000000001,0.645,0.7031913043478262,0.638395652173913,0.6434869565217392,0.6725260869565217,0.7157521739130436,0.6648913043478262,0.7178260869565217,0.7203782608695652,0.7104391304347827,0.7354869565217391,0.7151826086956522,0.7183217391304348,0.7139739130434783,0.6724173913043479,0.7200478260869565,0.7643739130434783,0.6274086956521739,0.727495652173913,0.7338652173913044,0.720195652173913,0.6820391304347826,0.7026173913043479,0.7306304347826087,0.7625142857142857
5,Reserva Natural de la Sociedad Civil,Quinto Patio del Lagunazo,0.49402500000000005,0.49310434782608703,0.495304347826087,0.47736086956521745,0.42408260869565223,0.5029826086956523,0.4602173913043478,0.450504347826087,0.47734347826086965,0.5100652173913043,0.45117826086956525,0.5169695652173913,0.46449565217391303,0.4537739130434783,0.4623521739130435,0.6064695652173914,0.5127869565217391,0.5850826086956522,0.4946818181818182,0.49731304347826094,0.5679782608695653,0.5375173913043478,0.46678260869565225,0.547595652173913,0.6061652173913044,0.6227571428571429
6,Reserva Natural de la Sociedad Civil,Gaviota-Caracolí,0.6776300000000001,0.7014347826086957,0.7500217391304348,0.7151565217391305,0.7196217391304348,0.7290347826086957,0.6783521739130435,0.6460217391304348,0.7039478260869565,0.7206608695652175,0.6473,0.6748217391304349,0.6813086956521739,0.678508695652174,0.5899260869565217,0.6200391304347826,0.6672347826086957,0.6586260869565217,0.6373521739130436,0.6530739130434783,0.6257608695652175,0.6828173913043478,0.6649913043478262,0.6684826086956522,0.6955478260869565,0.5904142857142857
7,Reserva Natural de la Sociedad Civil,Padrote 1,0.59999,0.6994043478260871,0.6486521739130435,0.6746217391304349,0.6127782608695652,0.6598391304347826,0.7008391304347826,0.6639608695652174,0.6524826086956522,0.6987652173913044,0.6984521739130435,0.670704347826087,0.6437869565217391,0.6605478260869565,0.6592391304347827,0.675013043478261,0.7082565217391305,0.7011565217391305,0.6374565217391305,0.6945913043478261,0.7391521739130436,0.6792782608695652,0.6959130434782609,0.7435913043478262,0.7291260869565217,0.6314571428571428
8,Reserva Natural de la Sociedad Civil,La Aurora,0.636105,0.6081521739130435,0.607004347826087,0.5556608695652174,0.6111913043478261,0.6322782608695652,0.6212869565217392,0.589004347826087,0.6303130434782609,0.6184391304347826,0.6446695652173914,0.6422869565217392,0.611104347826087,0.5983608695652174,0.5999739130434784,0.5984304347826087,0.651208695652174,0.6693434782608696,0.650713043478261,0.6021217391304349,0.6262,0.691104347826087,0.6850347826086958,0.6982565217391304,0.7624913043478261,0.5894285714285715
9,Distritos Regionales de Manejo Integrado,El Tinije,0.619965,0.5544869565217392,0.6232739130434783,0.5819782608695653,0.6235608695652174,0.5994217391304348,0.590704347826087,0.5644826086956523,0.5658869565217391,0.6179260869565217,0.5669217391304349,0.5911391304347826,0.5615434782608696,0.6220521739130436,0.5535782608695652,0.5756782608695652,0.5557434782608697,0.6170608695652174,0.5497347826086957,0.5425347826086957,0.6043478260869566,0.6310869565217392,0.6379521739130435,0.5704521739130435,0.6294086956521739,0.5566142857142857
10,Reserva Natural de la Sociedad Civil,Valledupar,0.499655,0.5432739130434783,0.5697391304347826,0.5303260869565217,0.5447913043478261,0.5449913043478262,0.5504608695652174,0.5310565217391304,0.5158478260869566,0.49723913043478263,0.5426347826086957,0.5453521739130435,0.5162826086956522,0.4731,0.499304347826087,0.5269,0.5536347826086957,0.5662391304347826,0.48851739130434785,0.4925086956521739,0.5549913043478262,0.550995652173913,0.5175826086956522,0.5583217391304348,0.5977695652173913,0.5932571428571429
11,Distritos Regionales de Manejo Integrado,El Tinije,0.5512750000000001,0.5345739130434783,0.5872347826086958,0.5532086956521739,0.5811782608695653,0.6321565217391304,0.6048434782608696,0.5426869565217392,0.6062434782608697,0.6365130434782609,0.5983,0.6337347826086958,0.6564739130434784,0.6702826086956523,0.6223173913043478,0.6603869565217392,0.6320130434782609,0.6629652173913043,0.5771304347826087,0.6358739130434783,0.6660652173913043,0.6680434782608696,0.6948217391304349,0.6668434782608696,0.7174478260869566,0.7230000000000001
12,Reserva Natural de la Sociedad Civil,El Boral,0.50495,0.5430086956521739,0.5569173913043478,0.5214521739130435,0.5279434782608696,0.5633608695652175,0.5496565217391304,0.5085304347826087,0.5066391304347826,0.5562347826086957,0.5146565217391305,0.5330956521739131,0.5259826086956523,0.5386913043478261,0.5110739130434783,0.5682826086956522,0.5561652173913043,0.5873869565217391,0.4946130434782609,0.5398565217391305,0.5470478260869566,0.5284434782608696,0.5359869565217391,0.5796347826086957,0.5810217391304349,0.5827857142857144
13,Reserva Natural de la Sociedad Civil,El Venado,0.528845,0.574113043478261,0.5626217391304348,0.5527608695652174,0.5650347826086958,0.5948347826086957,0.5860782608695653,0.6037173913043479,0.5554608695652175,0.5817565217391304,0.5968608695652174,0.5606347826086957,0.6180434782608696,0.5640391304347826,0.6216695652173914,0.6038521739130436,0.6286913043478262,0.644308695652174,0.6084652173913043,0.6260217391304348,0.6198869565217391,0.6491478260869565,0.6145260869565218,0.6586739130434783,0.6126652173913043,0.6535142857142857
14,Reserva Natural de la Sociedad Civil,La Bramadora,0.58575,0.6080434782608696,0.6042173913043478,0.6139565217391304,0.6224304347826087,0.6151478260869565,0.6181652173913044,0.566995652173913,0.6040565217391304,0.6459782608695652,0.6158826086956523,0.6503434782608696,0.6539782608695652,0.6656000000000001,0.5617521739130436,0.6391434782608696,0.6914565217391304,0.6925130434782609,0.6591956521739131,0.6723347826086957,0.6682304347826087,0.6638086956521739,0.6195869565217391,0.7199217391304348,0.6814391304347827,0.6722428571428571
15,Reserva Natural de la Sociedad Civil,La Bramadora,0.58849,0.519804347826087,0.5607173913043478,0.5404521739130436,0.5520304347826087,0.5367826086956522,0.5538608695652174,0.4971086956521739,0.5210695652173913,0.5643478260869565,0.5802304347826087,0.564608695652174,0.5260217391304348,0.546495652173913,0.4986869565217391,0.5143695652173913,0.5683304347826087,0.5998913043478261,0.5189739130434783,0.554004347826087,0.5761565217391305,0.5332478260869565,0.547595652173913,0.5575608695652174,0.5963217391304348,0.5669714285714286
