FID,categoria,nombre,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,Parque Nacional,Lago Ypoa,0.31276,0.2967304347826087,0.27745652173913044,0.24301739130434785,0.2411521739130435,0.2443521739130435,0.3039869565217392,0.26356521739130434,0.260104347826087,0.23557391304347827,0.25377826086956523,0.2421782608695652,0.29535652173913046,0.3108608695652174,0.2478521739130435,0.31263913043478264,0.2969304347826087,0.2944478260869565,0.32869565217391306,0.32948260869565216,0.31496956521739133,0.3810217391304348,0.3249956521739131,0.33421304347826086,0.39804347826086955,0.40364782608695654
1,Paisaje Protegido,Estero Yetyty,0.294285,0.40141304347826084,0.33058260869565215,0.3236913043478261,0.2997695652173913,0.3175434782608696,0.3482608695652174,0.33512608695652174,0.30919565217391304,0.31396521739130434,0.2872217391304348,0.3343086956521739,0.30213913043478263,0.2961565217391305,0.2799304347826087,0.27131304347826085,0.2873,0.33373478260869566,0.2924652173913044,0.28451304347826084,0.2977956521739131,0.2987086956521739,0.2611478260869565,0.3111826086956522,0.3476782608695652,0.31767826086956524
2,Parque Nacional,Paso Bravo,0.396015,0.3680304347826087,0.367104347826087,0.4255130434782609,0.4075565217391305,0.37916086956521744,0.39121304347826086,0.35085652173913046,0.367,0.3964739130434783,0.38392608695652175,0.36720434782608696,0.40965217391304354,0.3609608695652174,0.4193826086956522,0.41591739130434785,0.38887826086956523,0.37647391304347827,0.41440434782608704,0.3607956521739131,0.3942521739130435,0.3359217391304348,0.3447913043478261,0.40402608695652176,0.41661739130434783,0.3987608695652174
3,Reserva de Recursos Manejados,Lago Ypacarai,0.402015,0.40280000000000005,0.4178130434782609,0.3415173913043479,0.3732478260869565,0.34760434782608696,0.36589565217391307,0.3609652173913044,0.332804347826087,0.3642217391304348,0.3764391304347826,0.36012608695652176,0.35345652173913045,0.36268260869565216,0.3642130434782609,0.3784782608695652,0.3625260869565218,0.34639565217391305,0.35639565217391306,0.3456217391304348,0.3306260869565218,0.3684652173913044,0.38030434782608696,0.3866,0.3725608695652174,0.3543391304347826
4,Parque Nacional,Lago Ypoa,0.40092,0.3487652173913044,0.33856956521739134,0.28498695652173917,0.32296956521739134,0.309604347826087,0.31902608695652174,0.3536304347826087,0.31324347826086957,0.3630521739130435,0.31412173913043484,0.2976086956521739,0.3520739130434783,0.3783347826086957,0.35370434782608695,0.3357826086956522,0.34124782608695653,0.3067521739130435,0.3119608695652174,0.3256608695652174,0.3108217391304348,0.26319565217391305,0.3564304347826087,0.31491739130434787,0.32719565217391305,0.3307086956521739
5,Sitios Ramsar,Estero Milagro*,0.209595,0.28876956521739133,0.2823086956521739,0.25896956521739134,0.2750565217391305,0.2800608695652174,0.29507391304347824,0.2959782608695652,0.2674608695652174,0.2748695652173913,0.30982608695652175,0.3468869565217392,0.2909217391304348,0.3342304347826087,0.34250434782608696,0.3030217391304348,0.27897391304347824,0.32900869565217394,0.2486391304347826,0.31390434782608695,0.27593913043478263,0.2577521739130435,0.24815652173913047,0.31880000000000003,0.258704347826087,0.25761304347826086
6,Parque Nacional,Lago Ypoa,0.320145,0.34392173913043483,0.30433043478260874,0.3220869565217392,0.2736608695652174,0.3074,0.2957173913043479,0.3323478260869565,0.27312608695652174,0.28543913043478264,0.32199565217391307,0.26532608695652177,0.3001478260869565,0.23162608695652176,0.30753478260869566,0.3562217391304348,0.32498260869565215,0.29218695652173915,0.299004347826087,0.33408260869565215,0.26117391304347826,0.39238695652173916,0.35576956521739134,0.3404086956521739,0.40837391304347825,0.321104347826087
7,Paisaje Protegido,Estero Yetyty,0.268205,0.4036,0.4065347826086957,0.3883173913043479,0.37388695652173914,0.3250608695652174,0.383704347826087,0.36324347826086956,0.3645434782608696,0.3731260869565218,0.38303043478260873,0.3697956521739131,0.36494782608695653,0.33064782608695653,0.38277826086956523,0.34146521739130437,0.3727086956521739,0.3846217391304348,0.3577217391304348,0.36305652173913044,0.3863130434782609,0.35350000000000004,0.3435217391304348,0.39937826086956524,0.3872826086956522,0.36743478260869566
8,Parque Nacional,Paso Bravo,0.41866000000000003,0.3926782608695652,0.39754782608695655,0.44349130434782613,0.4097826086956522,0.3641478260869565,0.4157608695652174,0.39213043478260873,0.39431739130434784,0.40600434782608696,0.3873304347826087,0.4205086956521739,0.4060478260869565,0.3762695652173913,0.4441173913043478,0.4415,0.417804347826087,0.4023695652173913,0.4279173913043478,0.4043652173913044,0.4215086956521739,0.3821086956521739,0.3751086956521739,0.4242173913043478,0.39211739130434786,0.4317652173913043
9,Paisaje Protegido,Estero Yetyty,0.32522500000000004,0.33360434782608694,0.35041739130434785,0.31736521739130436,0.32921739130434785,0.2934,0.3412391304347826,0.3103086956521739,0.3037956521739131,0.31780434782608696,0.3096304347826087,0.33132173913043483,0.30636956521739134,0.3360782608695652,0.33253043478260874,0.30191739130434786,0.33304347826086955,0.3521782608695652,0.3399913043478261,0.34216956521739134,0.3519913043478261,0.3211434782608696,0.3206608695652174,0.35679130434782613,0.4107217391304348,0.33071739130434785
