FID,categoria,nombre,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,Parque Nacional,Lago Ypoa,0.635035,0.6236565217391304,0.6490608695652175,0.5918695652173913,0.6024739130434783,0.5942826086956522,0.663504347826087,0.6211869565217392,0.6046869565217391,0.5763217391304348,0.6356,0.6195652173913043,0.6171913043478261,0.6602695652173913,0.6132869565217391,0.6758217391304349,0.6561086956521739,0.6121739130434783,0.6677000000000001,0.639204347826087,0.5665739130434784,0.7095304347826087,0.6341869565217392,0.6646608695652174,0.7392391304347826,0.7331000000000001
1,Paisaje Protegido,Estero Yetyty,0.6047,0.6788434782608697,0.6244869565217391,0.6289782608695652,0.5986695652173913,0.6178478260869565,0.641504347826087,0.5978434782608696,0.6028304347826088,0.6059130434782609,0.5875869565217391,0.620395652173913,0.5863782608695652,0.589413043478261,0.5969521739130436,0.5782217391304348,0.5620391304347826,0.6229260869565217,0.6088739130434784,0.5866521739130435,0.581295652173913,0.5987086956521739,0.5684217391304348,0.6057217391304348,0.6389347826086957,0.6386913043478262
2,Parque Nacional,Paso Bravo,0.70913,0.6623826086956522,0.6484,0.6961478260869566,0.7036478260869565,0.6714130434782609,0.6979913043478261,0.6149652173913044,0.6625,0.6964217391304348,0.679404347826087,0.6536869565217391,0.6970913043478262,0.6442,0.6908869565217391,0.7118913043478261,0.6683956521739131,0.6574217391304348,0.6949304347826087,0.6340130434782609,0.6780434782608696,0.6205869565217391,0.646104347826087,0.6761826086956523,0.6928434782608697,0.711895652173913
3,Reserva de Recursos Manejados,Lago Ypacarai,0.6682100000000001,0.6708608695652174,0.6920478260869566,0.6136434782608696,0.646504347826087,0.6260434782608696,0.6334869565217391,0.6155260869565218,0.5998652173913044,0.6169173913043479,0.6351913043478261,0.6209260869565217,0.6007217391304348,0.6163695652173913,0.627108695652174,0.6478086956521739,0.605004347826087,0.6198391304347827,0.6268173913043479,0.587995652173913,0.5747695652173913,0.6294913043478261,0.6309,0.6413260869565217,0.6351565217391304,0.6200826086956522
4,Parque Nacional,Lago Ypoa,0.73419,0.6491173913043479,0.6781173913043478,0.6174869565217391,0.6504739130434783,0.6261652173913044,0.6563521739130436,0.6752782608695652,0.6416608695652174,0.6914869565217391,0.6472434782608696,0.6258391304347827,0.669708695652174,0.6828565217391305,0.6755826086956522,0.6533478260869565,0.6468478260869566,0.6172652173913044,0.6354913043478261,0.6344521739130435,0.6129260869565217,0.5302913043478261,0.6801608695652175,0.6565826086956522,0.6979304347826087,0.6867304347826088
5,Sitios Ramsar,Estero Milagro*,0.5749500000000001,0.635408695652174,0.6190304347826088,0.5952869565217391,0.6223565217391305,0.6399086956521739,0.6401,0.6128086956521739,0.622304347826087,0.6086652173913043,0.6164608695652174,0.6654869565217392,0.6821913043478262,0.7039478260869565,0.6816739130434784,0.6640304347826087,0.6591565217391304,0.695808695652174,0.6107304347826087,0.6599521739130435,0.6461608695652175,0.6239521739130435,0.5659695652173913,0.6867826086956522,0.5763478260869566,0.6254826086956522
6,Parque Nacional,Lago Ypoa,0.648055,0.6561782608695652,0.6419652173913043,0.659895652173913,0.6323913043478261,0.6485130434782609,0.6415391304347826,0.6550304347826087,0.597204347826087,0.6186608695652174,0.6661086956521739,0.604295652173913,0.6538260869565218,0.6695826086956522,0.6878347826086957,0.7043826086956523,0.6687260869565217,0.622104347826087,0.626704347826087,0.6491434782608696,0.5715478260869565,0.7083434782608696,0.6613608695652174,0.6792173913043479,0.7226086956521739,0.7094347826086957
7,Paisaje Protegido,Estero Yetyty,0.649045,0.7225173913043479,0.7010478260869565,0.7074,0.7074565217391304,0.6640347826086958,0.7149608695652174,0.6749913043478262,0.6755608695652174,0.6831608695652174,0.703704347826087,0.6965478260869565,0.6894869565217391,0.6747826086956522,0.7025739130434784,0.6744913043478261,0.6802869565217391,0.6877478260869565,0.6730913043478262,0.6728391304347826,0.7106086956521739,0.7056782608695652,0.6760391304347826,0.7178869565217392,0.7090304347826087,0.7111304347826087
8,Parque Nacional,Paso Bravo,0.74687,0.7279913043478261,0.6755826086956522,0.7421391304347826,0.7390521739130436,0.6633347826086957,0.7253434782608696,0.6595652173913044,0.7035347826086957,0.7196956521739131,0.7090652173913043,0.7170434782608697,0.7057652173913044,0.7165347826086957,0.7548521739130435,0.7680260869565217,0.7320304347826088,0.6986,0.7334347826086958,0.7083956521739131,0.7051260869565218,0.654695652173913,0.6801913043478262,0.7144260869565218,0.6859521739130435,0.782408695652174
9,Paisaje Protegido,Estero Yetyty,0.61916,0.6219956521739131,0.6391913043478261,0.6134391304347826,0.6343826086956522,0.6035608695652174,0.6516478260869565,0.5816260869565217,0.5953260869565218,0.5836260869565217,0.6200173913043479,0.6172739130434783,0.5893347826086958,0.6169173913043479,0.5991260869565217,0.5953347826086958,0.6471,0.6470173913043479,0.6036739130434783,0.6259304347826087,0.6579695652173914,0.5931913043478261,0.6157217391304348,0.6282695652173913,0.6594173913043478,0.6152217391304349
